Title,Url,Company,Location,Salary,Easy Apply
Senior Business Analyst,https://ca.indeed.com/rc/clk?jk=cdc6b4cb6162c42a&fccid=246b913db379ea91&vjs=3,"
Gore Mutual Insurance Company","Cambridge, ON",,
Business Intelligence & Reporting Analyst,https://ca.indeed.com/rc/clk?jk=7bc1b9cd455f51be&fccid=7ed81cdee8d7cf3f&vjs=3,,"Toronto, ON","
$70,000 a year",
Data & Automation Analyst,https://ca.indeed.com/rc/clk?jk=e3dd1da6126d5c7b&fccid=6161745df4a18957&vjs=3,,"Vancouver, BC",,
"Sr. Analyst, Digital Analytics (16 month contract)",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CeJ2NNOGKC6-vVDIZc6zLWOhawF6DrYB26fLHY4IsQgLKPExHKLGHNuZJCogXm2QiFB-dIkdW2URraAlGQhgOZwk_gF6N4D-1PZjVpI3HPpZxXK1Cr5x1G0t-fojRfbErPPaX-_Rwi5fbHTXLEuyGcWkVYGjXnJnOvA71W-dH-fS8jfNHke4WEhMaCBgz9ttfsFaGDDSt5yoOkqV4iGtQaB5D3dwUoP2434oBX2jNn3V9tmDqhSWl32ybsu1acujOcutZm6jMEJ4Q-QbjX4di48Z_QOigGQVi6wKdxLh_yMIEeG274kDAhcmy7VodfooPgT3m-M57SWEzW0-W90gGOC2LrhQ9Nn512tgY-jjFIIvXb8hQgKmuqLwSXk-W5t4Lhis_vsKfp8ob02cL0TNZ3qO7uS6sTR-jIAXeRW_pud7vE4TmHiAuyOisZIlSZRshN87ElBAO_6ENqW8pc2BI-gcKv5u_ICW5T-JXQIkVcjjPQHj3lvYbdyqMPbyXvPJcNab3tYyIQj5ZkI7hSCha02r0IMBURZWU=&p=3&fvj=0&vjs=3,"
AIR MILES","Toronto, ON",,
Field Data Reporting Analyst,https://ca.indeed.com/rc/clk?jk=5b3bbc88ce8b6ce6&fccid=c0bb7be52e9b90bc&vjs=3,"
Canadian Natural","Calgary, AB",,
Data Visualization Analyst (Developer),https://ca.indeed.com/rc/clk?jk=174743e2dec19f30&fccid=e16ce774384b4169&vjs=3,"
Suncor Energy Services","Calgary, AB",,
Research Analyst (Market-Leading Commercial Real Estate Team),"https://ca.indeed.com/company/SVN-Rock-Advisors-Inc.,-Brokerage/jobs/Research-Analyst-8e58aed5ce7bca61?fccid=87aec1f4b1f318b7&vjs=3",,"Burlington, ON","
$50,000 a year",
Business System Analyst,https://ca.indeed.com/company/Dawn-InfoTek-Inc./jobs/Business-System-Analyst-8a691642e4c78fa5?fccid=7fd13fff10c82576&vjs=3,,"Toronto, ON",,
BI/Data Analyst 3155721,https://ca.indeed.com/rc/clk?jk=435430c5400e0726&fccid=0c39fb2c91742dcf&vjs=3,"
Morgan Stanley","Montréal, QC",,
Business Analyst,https://ca.indeed.com/company/TransForm-Shared-Service-Organization/jobs/Business-Analyst-1ecad7a9c1f0743e?fccid=07177b2ac188bcc7&vjs=3,"
TransForm Shared Service Organization","Windsor, ON",,
HR Operations Analyst (Employee Data Mgt),https://ca.indeed.com/rc/clk?jk=c25d998c40fc85c0&fccid=bfd775c668d70e10&vjs=3,,"Halifax, NS",,
Payroll and Benefits Analyst,https://ca.indeed.com/rc/clk?jk=46f7c8d7c739c5ae&fccid=0ca031ed26c1951e&vjs=3,"
Town of Oakville","Oakville, ON","
$70,070 - $84,117 a year",
Data Analyst,https://ca.indeed.com/rc/clk?jk=083f77468150bef2&fccid=634294dc6b933676&vjs=3,,"Montréal, QC",,
"ITSM Analyst, Business Relationship Management",https://ca.indeed.com/rc/clk?jk=dd11911d3c57d107&fccid=be7195d2ebb48351&vjs=3,"
Intact","Anjou, QC",,
Business Intelligence Developer,https://ca.indeed.com/company/Inno-Foods-Inc./jobs/Business-Intelligence-Developer-abbded931dbe945d?fccid=dcb86488a3dc7d75&vjs=3,,"Port Coquitlam, BC",,
Product Support Analyst,https://ca.indeed.com/rc/clk?jk=2ca29563c0db3fa0&fccid=fb41d6fb4cfcbcea&vjs=3,,"Concord, ON",,
Information Security Analyst (Entry Level),https://ca.indeed.com/rc/clk?jk=58d07b17d93f86ed&fccid=e6d683aa9f2c173a&vjs=3,,Ontario,,
Data Analyst,https://ca.indeed.com/rc/clk?jk=77a6378f57a3b270&fccid=59b04a51f1164f7e&vjs=3,"
SNC-Lavalin","Toronto, ON",,
Analyste assurance qualité / QA Analyst,https://ca.indeed.com/rc/clk?jk=6ed3b691042a3b46&fccid=aed940ca07a7584d&vjs=3,"
EXFO","Montréal, QC",,
"Programmer Analyst, Business Intelligence",https://ca.indeed.com/rc/clk?jk=73ceb42c01afb56b&fccid=d1e5df65baa8857f&vjs=3,"
Desjardins","Montréal, QC",,
Evaluation and Performance Measurement Analyst (12-18 Month Term Contract),https://ca.indeed.com/company/Canadian-Centre-on-Substance-Use-and-Addiction/jobs/Evaluation-Performance-Measurement-Analyst-0287aa9ca6eb6881?fccid=e0293ce6345ae05c&vjs=3,,"Ottawa, ON",,
Digital Marketing Analyst - Remote from anywhere in Canada,https://ca.indeed.com/rc/clk?jk=528fbeaf22a45b4d&fccid=95fcff06e59f4033&vjs=3,"
G4S Secure Solutions Canada",Canada,,
HR Data Analyst,https://ca.indeed.com/rc/clk?jk=0472728d343ba0b8&fccid=131bed7b726f4d12&vjs=3,,"Montréal, QC",,
Principal Data Analyst,https://ca.indeed.com/rc/clk?jk=d8b0a29e4ad2e8f5&fccid=131bed7b726f4d12&vjs=3,,"Montréal, QC",,
Data Analyst,https://ca.indeed.com/rc/clk?jk=51adbd4615daf17e&fccid=318d62c673342e64&vjs=3,"
University of Saskatchewan","Saskatoon, SK","
$62,850 - $98,205 a year",
"Senior Analyst, Data Analytics",https://ca.indeed.com/company/SIRIUS-XM-CANADA-INC./jobs/Senior-Analyst-cd265cda149f2e2e?fccid=7e075b1436d11c02&vjs=3,,"Toronto, ON",,
Database Analyst (Oil and Gas),https://ca.indeed.com/company/Resource-Energy-Solutions/jobs/Database-Analyst-9de71c8f879cadcc?fccid=6471ae1aba5e81a9&vjs=3,,"Calgary, AB","
$75,548 a year",
"Marketing Analyst, Customer Data and Insights",https://ca.indeed.com/rc/clk?jk=00c59f141cc779f8&fccid=26d14e5554c1e0a1&vjs=3,"
Knowledge First Financial","Mississauga, ON",,
Data Analyst - Video Sharing Platform BI,https://ca.indeed.com/rc/clk?jk=269b5188bb0d3602&fccid=6f250882b448d8bc&vjs=3,"
MindGeek Careers","Montréal, QC",,
Sales Business Performance Analyst - 12 month contract,https://ca.indeed.com/rc/clk?jk=71899891b8bad89c&fccid=6f49e88f14c18b75&vjs=3,"
Mars","Bolton, ON",,
Senior Collaboration Solution Analyst,https://ca.indeed.com/rc/clk?jk=0221a3ec5b5826b6&fccid=367ae0b0728910f4&vjs=3,"
McGill University","Montréal, QC","
$88,700 - $133,060 a year",
Corporate Statistical Process Control Analyst,https://ca.indeed.com/rc/clk?jk=d44a7d6f6ae32542&fccid=75f43794362866ee&vjs=3,"
Electromac","Windsor, ON",,
Analyste de données de l’expérience client /Customer Experience (CX) Data Analyst,https://ca.indeed.com/rc/clk?jk=56251c0437bfe90c&fccid=b839f9af280b111f&vjs=3,"
CAE Inc.","Saint-Laurent, QC",,
Fuel Pricing Analyst,https://ca.indeed.com/company/Circle-K/jobs/Fuel-Pricing-Analyst-e214408a08c74629?fccid=9cfe635d4940df97&vjs=3,"
Circle K","Moncton, NB",,
Technology Systems Analyst,https://ca.indeed.com/rc/clk?jk=bec931de2d19ad84&fccid=7403641eba2437d5&vjs=3,,"Fredericton, NB","
$4,392 - $6,134 a month",
Pipeline Integrity Data Analyst (Term role),https://ca.indeed.com/rc/clk?jk=796b403cb61c44d1&fccid=e4fbec588ac659b1&vjs=3,,"Calgary, AB",,
Policy Analyst,https://ca.indeed.com/company/Dnaagdawenmag-Binnoojiiyag-Child-and-Family-Services/jobs/Policy-Analyst-2d925853c52f24b3?fccid=1ffb831baf074d7b&vjs=3,,"Hiawatha, ON","
$64,840 - $78,149 a year",
"Quality Control Analyst, Analytical Testing",https://ca.indeed.com/rc/clk?jk=44e5f9a719769bb7&fccid=1495fd2cb143fcaf&vjs=3,"
STEMCELL Technologies","Vancouver, BC",,
Jr. Business Intelligence Developer,https://ca.indeed.com/rc/clk?jk=40bafb7ee2ea8dcc&fccid=fa9e08dfbb30d849&vjs=3,,"Toronto, ON","
$90,000 - $150,000 a year",
Junior Analyst / Product Developer,https://ca.indeed.com/rc/clk?jk=044e8611bdfa3685&fccid=1e454844df1bf09e&vjs=3,,"Oakville, ON",,
Marketing Science Analyst - Data Engineering,https://ca.indeed.com/rc/clk?jk=ef32de97a1f82255&fccid=4c1cecd72be0fe72&vjs=3,"
Critical Mass","Toronto, ON",,
Business Intelligence Analyst,https://ca.indeed.com/rc/clk?jk=59c2a51b79563298&fccid=84c23fbcabc14d59&vjs=3,"
BGIS","Ottawa, ON",,
Product Analyst,https://ca.indeed.com/rc/clk?jk=a42405c583c91b67&fccid=bc30630cfcc120d4&vjs=3,"
Loblaw Companies Limited","Brampton, ON",,
Business Program Manager - Defence & Intelligence,https://ca.indeed.com/rc/clk?jk=400dbd091645ea93&fccid=734cb5a01ee60f80&vjs=3,"
Microsoft","Ottawa, ON",,
"Analyst, Marketing & Performance",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AkBy8OJiIRGfdhcCFclcnGIZYYjzmT5hjPDT_qdnglSyDpaEUbeSZ7LINlWo_K8CfxU0KR1Or_hWBx8KwWHGPTgESVJEFbcKtxZmcMmUA-UIaMkNveoT6KbKD1V9YH10mk6-Be9LuvKf5gX19TXc6JgxfleefDn1ZszTSLdeFMYlfi__7DMesXDKdeuxe5uq8QU7jv2YEYFN9gHHbo6oJRaka554V_t4GvU2-cq7RcdZ7G7FYaisdM4y6_gcW4xsJsw7N9HP11QIrwLjTOPo60kaO_mwkTQPxh85QKMCTAZtLO1LVAr-afs4dctdVMHuvuBb5w-lvBUfZ1yyMqMvuLksvUN3H3xlmlRBpSc7bahRY7ffpdhgagiZweweVHctNDJoniYIBg0EGkvjxjGVXCQhqUvP9GYeqZBXceUloXJuUkjbGg81NlZalAIpWJf3i_F_INO4SbYA==&p=14&fvj=1&vjs=3,,"Boucherville, QC",,
"Business Intelligence Analyst (Developer), Human Resources Information System",https://ca.indeed.com/rc/clk?jk=9bfaf03b753a0c78&fccid=f66f721a44de3765&vjs=3,"
PHSA","Burnaby, BC",,
"Analyst, Marketing & Performance",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AkBy8OJiIRGfdhcCFclcnGIZYYjzmT5hjPDT_qdnglSyDpaEUbeSZ7LINlWo_K8CfxU0KR1Or_hWBx8KwWHGPTgESVJEFbcKtxZmcMmUA-UIaMkNveoT6KbKD1V9YH10mk6-Be9LuvKf5gX19TXc6JgxfleefDn1ZszTSLdeFMYlfi__7DMesX23r23gfBE8FtuUnahQkXxspd1PJy7ofl2avm-Ied_Vpngffu9r3BEcs7Iwr2jDEAEoneQNNghB76zR_yYhDM_uWqHzL7D-FViy5pK-fLKgLRQS4NzN1BIPhJ5kzcZkaU92SPaxK8zEwtZIbq6tGceOQOd2n3YOgDBDDUYJtUtI_Uq0_KwzVsjsu2yTg9BmZbJUXnH9rf3PLaZnjYBSyVr9Bd0N2gHLa7KJTB3ZD6BVCpNtdpW7lc5cCMcrWYZs6I7skJ7xcRX4D6mvkkms-9gg==&p=1&fvj=1&vjs=3,,"Boucherville, QC",,
Data Analyst,https://ca.indeed.com/rc/clk?jk=ada2b1eb3b4af18c&fccid=b07d0a26fd7c9143&vjs=3,,"Burnaby, BC",,
Senior Member Insights Analyst,https://ca.indeed.com/rc/clk?jk=a346cba6dbfc536c&fccid=9143418bf778754f&vjs=3,"
Mogo","Vancouver, BC",,
Marketing Analyst - Marketing Science,https://ca.indeed.com/rc/clk?jk=67376eec037c288a&fccid=34e826678ef5c291&vjs=3,,"Toronto, ON",,
Data Analyst,https://ca.indeed.com/rc/clk?jk=2bd4475c87ca4f77&fccid=f0404b5315ab218d&vjs=3,"
OSL Retail Services Inc","Mississauga, ON",,
Business System Analyst,https://ca.indeed.com/rc/clk?jk=c47487994131c615&fccid=b915a93c9fd22a51&vjs=3,,"Toronto, ON","
$55 - $70 an hour",
Process Excellence Analyst,https://ca.indeed.com/rc/clk?jk=592b7f937875f6d3&fccid=106ed5ce28ef4704&vjs=3,"
RSA Canada","St. John's, NL",,
"Senior Manager, Enterprise Data & BI",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AGe_pkapVKh0csaJx7bfpyFVOqftBTgNDB3_JH6no2KFH5uEG5Gx53zcsPZy-3yktoE0IQmR1uFabgO9-E0Q5U0PM7aG8D1IYCo_37DJT_FsmJ9moQHDxv3ShD6McgSr8AyiLX8B7qorOW_Bbva5tJWTgKQdnpovAq8Rdgq7PotkAdL1qdoxS5gOtj-b-55FSTcfROMPeTdKXUihqvloq8zR5sC2tErPWv5ibsFhVXGt18K4RTne2eJ1Yzl3eiVaQnL5TUDpRZxRondiXpePL7AcD_YAqqrf9Wt1vBdi2WkiIFHTSa3CAMjkr1Tb_XqlnbvzOSHuMc9mgQqt0Q1VEZTJcsYLHhsHlPyVO0sm1TdivLgRPBti72X7oCW8R3F0tE2M_3FHZB65dn20GILfHWypeH1idpseIjA2xCjG9Z1rQkf0GGQlJ8xAajcxwXsrWAgchymcKjlCEZLL2DbIath2vIc1Q5JyOrtLjD2ZpS11rftn_p2pB9v4B1XohAdhTeyCx0zt3pI_JSmpEEAZvk&p=8&fvj=0&vjs=3,"
Colliers International","Toronto, ON",,
HRIS Analyst,https://ca.indeed.com/rc/clk?jk=37731acb12543b23&fccid=858565e37a126a9f&vjs=3,"
Ledcor","Vancouver, BC",,
securities analyst,https://ca.indeed.com/rc/clk?jk=76f195c0c030fa08&fccid=b5b8f6b80d60c5c3&vjs=3,,"Toronto, ON","
$70,000 - $100,000 a year",
BUSINESS SYSTEMS ANALYST,https://ca.indeed.com/rc/clk?jk=300a14d3734db96d&fccid=d9ad30fa0c311aab&vjs=3,,"Winnipeg, MB",,
Lead Inventory Analyst,https://ca.indeed.com/rc/clk?jk=9a56c7130dd5f836&fccid=6ed85056922418c6&vjs=3,,"Calgary, AB",,
Compensation Analyst,https://ca.indeed.com/rc/clk?jk=83304d5144e9ea91&fccid=31921a4bf53a6026&vjs=3,,"Oakville, ON",,
Research Analyst,https://ca.indeed.com/rc/clk?jk=5411503bf41ba6db&fccid=b73617af558c30fd&vjs=3,"
Centre for Addiction and Mental Health","Toronto, ON","
$24.60 - $32.81 an hour",
Budget Planning Associate Analyst,https://ca.indeed.com/rc/clk?jk=447a16b427ff0e8b&fccid=2eebfc177bcf53a7&vjs=3,"
Canon Canada","Brampton, ON",,
"Senior Manager, Enterprise Data & BI",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AGe_pkapVKh0csaJx7bfpyFVOqftBTgNDB3_JH6no2KFH5uEG5Gx53zcsPZy-3yktoE0IQmR1uFabgO9-E0Q5U0PM7aG8D1IYCo_37DJT_FsmJ9moQHDxv3ShD6McgSr8AyiLX8B7qorOW_Bbva5tJWTgKQdnpovAb4OrVyQGGv5RaAgZvWgYySdR0oL7mtpdobkYoNcZnA8mSlUKZJ5BCSg3kakW5sEH7pd6IXvufKCoWJ9PZ2Gouce0XDF_k6DpZl0v6n1pgJhuuvcfPkVopjMW3SJqxbrnzvUSPRcTxJvhydiON3jdddHxnPDktH043R5OTpo5a7OU4i3L9mU7DdBV6A57D592v-e__AQ-Qdxi5W1SlxOQr5n4WVcyFHfgCHYO7FEYZ_i34G4iCgGVSG_znQgah9ccfVwtwtxysG_5MqrD_axurHop6U7k9BAkQnbrkNa8CiO87iWo3M1htyZgb_-31OOZuJMTmGrDkd-_nqHbO5Rg_yLHvXg0sQxsFmKA1sX-kkKxRUb5CYWkM&p=1&fvj=0&vjs=3,"
Colliers International","Toronto, ON",,
Geomatics Analyst - Inventory Process,https://ca.indeed.com/rc/clk?jk=a55f3bf46e5173d4&fccid=4ccda13f1c5c03d2&vjs=3,"
National Defence","Victoria, BC","
$59,842 - $72,804 a year",
"Analyst, Commercial Operations",https://ca.indeed.com/rc/clk?jk=622fdd7267e4913e&fccid=a56d74c957f04bdb&vjs=3,"
First National Financial","Toronto, ON",,
Clinical Trials Data Anonymization Analyst,https://ca.indeed.com/rc/clk?jk=5b3d86010bc8f854&fccid=6b7a1dfe07e7f037&vjs=3,"
IQVIA",Ontario,,
"Senior Analyst, Enterprise Data Management",https://ca.indeed.com/rc/clk?jk=6dbf8edbc44f4d21&fccid=622204ff168f29bd&vjs=3,"
Equitable Bank","Toronto, ON",,
Data Analyst,https://ca.indeed.com/rc/clk?jk=011ef0b31a96d810&fccid=e5595c68b69ef77d&vjs=3,,"Toronto, ON",,
Data Analyst - Business Intelligence,https://ca.indeed.com/rc/clk?jk=cc404ca8b4559ebf&fccid=04e6cca643a9b6aa&vjs=3,"
North American Palladium","Thunder Bay, ON",,
Senior Actuarial Analyst - Commercial Pricing,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CEHTTq3EWY4dR91sXzvNMj49dCEigthr2WjVy7xcm5kABwhPVZwQcvuLyl6fh0sPKDoJo_r5hcYRDaDg4VfzIPbI_2TmWCc_5SYGU71st3xfI5WyshhxTcCaM_lhp3ARgrlDnJmr3P_pTX0muuwkOYnT4L5ya7U9RxL4CtsL40GaD8fdvDA9K3_mGSQVXNt3z_SWvGEB0UhNundZ7zaTQNxqs0qOHV4-OEtrEG6OFQ0ColSD4VZghnBGdtK9BeKy47WraUy2OgugUIZwQcmF2y9vk8UzYK2MAhTAREoJ5TgsM-rQdME7CixfXFTBNgzlDSty8g23Z7fwugVUMM_MVn06IbYdUPpa-vKd7KgeWQImWPmQbz1mVMD8kfrsg4zDrhksUf4UPs9p1Ud9iUmwaf396w1bzFjD1t0CLDwdyFpLyVQRYsRqLKKmI89fWDvH0xaKhn3EZICzY5qwzChI_DfCxNm7NqOjvxW24fPD2JQkM8yehhS02kQ8RlgDWmZuRpbCiwMdXb-t0z48Tlrc9YL65s0uYjduwhFoFwY_Klre7afnojndDk&p=8&fvj=0&vjs=3,"
Wawanesa","Winnipeg, MB",,
Business Intelligence Analyst,https://ca.indeed.com/rc/clk?jk=58dcc6686f156b83&fccid=7618bab885a58aa7&vjs=3,"
Lafarge Canada","Mississauga, ON",,
"(CAN) Senior Analyst, Merchandise Analytics",https://ca.indeed.com/rc/clk?jk=6311a3e631d1ea7f&fccid=822bc5d9a49270ea&vjs=3,"
Walmart Canada","Mississauga, ON",,
Data Analyst,https://ca.indeed.com/rc/clk?jk=a9e7d52bc1f19837&fccid=71eb96af97fae7e9&vjs=3,,"Montréal, QC",,
Technical Support Analyst,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHr9e3YhITStc3oQMV-szVFED1fmxMSxy-WjB7lnl1Qbgp9PYRjI62yQgBWK1bx0-WEOyeo3v7BXmxSkXLFWZWRY5Oh38A45ZAuU_j2G8JtjM-qmRL-gjUMWVt_aVVcS-uvMs_tb-9r3Ka7HrNW8fPye3aFd57x2VgjMrJWv1Jp32Qa6Ql8x7q81d-bRMN_A6OnG2FaVCJZLf-tqDZMNZs_oaXvpGLR5cy0Rx4D6rzGS-fXg95Lwgt-0WHvSgxo4fl0W4Nhi8Jp3Ifb7Jt7ngs7g8lFapIhaYgVgQmCF8AseJAme6KOa6VKa4tDmBJYgCICHHK1aICC3_FLteY_jvNkoLbs3xOc50vqo6m9rtMZtyte1Fjx7626t76P-a0tmdD3vPbcqCaSFJlq3vHU4VE3zMBjzQa7w_C6VOsqpSDgegarfsRYMSiDqhfhXH5uOY=&p=12&fvj=1&vjs=3,,"Edmonton, AB",,
Client Onboarding Analyst (Data Analyst),https://ca.indeed.com/rc/clk?jk=edba7cea10edf2ac&fccid=537b899e30af3338&vjs=3,"
RBC","Toronto, ON",,
Senior Data Quality Analyst,https://ca.indeed.com/rc/clk?jk=fc1415628a6bc3ae&fccid=8e1c9c7d0e54f230&vjs=3,"
Workplace Safety and Insurance Board","Toronto, ON",,
BI / Big Data Developer,https://ca.indeed.com/rc/clk?jk=2be5492a2d6f090b&fccid=237908de095b6446&vjs=3,"
Ubisoft","Montréal, QC",,
Data Reporting Analyst,https://ca.indeed.com/company/Small-Business-BC/jobs/Data-Reporting-Analyst-b76f9002a57a2cf6?fccid=39e90ece663dabaf&vjs=3,,"Vancouver, BC","
$27.26 an hour",
Data Governance Analyst,https://ca.indeed.com/rc/clk?jk=1f20381032562cad&fccid=e18e71985fce1dc2&vjs=3,"
BentallGreenOak","Toronto, ON",,
Business Intelligence Manager,https://ca.indeed.com/company/Imperial-Tobacco-Canada/jobs/Business-Intelligence-Manager-13e8dc62abf2e27e?fccid=127dd540d0dffd47&vjs=3,"
Imperial Tobacco Canada","Montréal, QC","
$190,000 - $195,000 a year",
CEG Sales Analyst,https://ca.indeed.com/rc/clk?jk=7e143171c7672c21&fccid=cbda9e3eac3bb996&vjs=3,"
Yamaha Motor Canada","Toronto, ON",,
Computer Programmer/Analyst,https://ca.indeed.com/rc/clk?jk=005946c2674f0bde&fccid=2c5d7dd9673a78e6&vjs=3,"
Labrador-Grenfell Health","St. Anthony, NL","
$30.43 - $33.95 an hour",
Salesforce Business Analyst,https://ca.indeed.com/company/Bkonect-Solutions/jobs/Salesforce-Business-Analyst-b1359102c7fe8f81?fccid=fe2fe674c4ccea7d&vjs=3,,"Montréal, QC","
$56,334 - $80,000 a year",
Data Analyst - Power BI Developer,https://ca.indeed.com/rc/clk?jk=0afbdec55ef12482&fccid=816a2e014b40d93b&vjs=3,"
OCAS","Guelph, ON",,
Technical Support Analyst,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHr9e3YhITStc3oQMV-szVFED1fmxMSxy-WjB7lnl1Qbgp9PYRjI62yQgBWK1bx0-WEOyeo3v7BXmxSkXLFWZWRY5Oh38A45ZAuU_j2G8JtjM-qmRL-gjUMWVt_aVVcS-uvMs_tb-9r3Ka7HrNW8fPye3aFd57x2VgjMrJWv1Jp32Qa6Ql8x7qudngul9_EzhTtx74ZwUh4Zlt9jKb1MQhrD5uB-CSOCKB4NFuXsOABp5Ngxb01JpHspt-Usrq1FuhmzD7Ltc0mfGJAvnk36vuY3QWjhgzCmxRinFTF062tryAeghvQ-8Irjzu1jp3xe1-PFQ7gSUKceVbZlRD7rkFutcXFhNahX1F1H_gNtEB_COkFVo6kExucWjRupS3VEVGexm3DZNGgZMErzIWQ--SCCbBp42a_G7Ta4dBLLOGv4xTDwTHFJd-bqInRVfFO54=&p=8&fvj=1&vjs=3,,"Edmonton, AB",,
Business Intelligence Analyst – Cognos Analytics,https://ca.indeed.com/rc/clk?jk=48d8eb039e18299a&fccid=d3baf1c820bd7a92&vjs=3,,"Halifax, NS",,
Business Analyst,https://ca.indeed.com/rc/clk?jk=f6c13e5208accc7e&fccid=8aa7f0f5b6a33d6e&vjs=3,"
ADT by TELUS","Toronto, ON",,
SMART SHEET ARCHITECT ANALYST,https://ca.indeed.com/rc/clk?jk=043ad763c4f743ac&fccid=c55f4ad42cee2cd3&vjs=3,"
Compass Group Canada","Calgary, AB",,
Senior Technical Analyst (Telephony & Voice Data),https://ca.indeed.com/rc/clk?jk=913ba406a5c2e67e&fccid=3002307a9e5b4706&vjs=3,"
Scotiabank","Toronto, ON",,
"Senior Analyst, Loyalty",https://ca.indeed.com/rc/clk?jk=88b8bfa351acdd43&fccid=43f0f7dbd55927e9&vjs=3,"
Lululemon","Vancouver, BC",,
Manager Data Analyst - Data Warehouse Services,https://ca.indeed.com/rc/clk?jk=2f8f85b98881898e&fccid=6f250882b448d8bc&vjs=3,"
MindGeek Careers","Montréal, QC",,
Business Analyst,https://ca.indeed.com/rc/clk?jk=3bb3aeeafcee201f&fccid=2e75f29e0007f5a0&vjs=3,,"Calgary, AB",,
Business Intelligence Analyst,https://ca.indeed.com/rc/clk?jk=9f318c4b6986f7ae&fccid=58a0b6e7b7d51d7e&vjs=3,"
Citco","Halifax, NS",,
Regulatory Information Analyst,https://ca.indeed.com/rc/clk?jk=543303efcfd7616f&fccid=2e87b70010eca7ec&vjs=3,,"Montréal, QC","
$45,000 a year",
Senior Analyst,https://ca.indeed.com/rc/clk?jk=0f3761710de1f8e3&fccid=be7dc08e7744b89f&vjs=3,"
IG Wealth Management","Toronto, ON",,
Data Analyst - Immunology,https://ca.indeed.com/rc/clk?jk=86491410f700e4b1&fccid=943271990b714a32&vjs=3,,"Montréal, QC",,
Business Analyst – Customer Service,https://ca.indeed.com/rc/clk?jk=0c545b89ec75b61a&fccid=05cd95175163d972&vjs=3,,"Oshawa, ON",,
Technical Support Analyst,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHr9e3YhITStc3oQMV-szVFED1fmxMSxy-WjB7lnl1Qbgp9PYRjI62yQgBWK1bx0-WEOyeo3v7BXmxSkXLFWZWRY5Oh38A45ZAuU_j2G8JtjM-qmRL-gjUMWVt_aVVcS-uvMs_tb-9r3Ka7HrNW8fPye3aFd57x2VgjMrJWv1Jp32Qa6Ql8x7qTibLfxDRC-nCDswIxlFlQ2e-X2jeTqg0LWdWzBnaYSiTtSoe073karHK5Y_QnQb_lejorxw4Z_bfbzdJzvp2WaS2denEcNsd6BgkmGggkLtMdmX6AUxkCs5H7_ZZECM8iJDn7tNBRSoLT047dZ2_eQwI6lTmoxTsgc2uYIV5dageksc8rhdACAhXPQ1uorkwqeVc6zp-ad6MexOfMYgHvkSJVLPWYrXfVsSnWntq9jy04DOOC59vDT0Xui6FuFBY8XYg3hI3zqk=&p=6&fvj=1&vjs=3,,"Edmonton, AB",,
"Business Intelligence Analyst, OTD",https://ca.indeed.com/rc/clk?jk=908f8b63a19e4a93&fccid=412e8fed3106e02e&vjs=3,"
BRP","Sherbrooke, QC",,
Data Analyst,https://ca.indeed.com/rc/clk?jk=c0a73881bffc7c40&fccid=2592107f2cf8d4a2&vjs=3,,"Toronto, ON",,
"Investment Analyst, Capital Markets- External Managers Group",https://ca.indeed.com/rc/clk?jk=cb2670feab98b01c&fccid=17bf781939cc1c3e&vjs=3,"
Ontario Teachers' Pension Plan","Toronto, ON",,
Data Design Analyst,https://ca.indeed.com/rc/clk?jk=ebddf86ee81be18b&fccid=1747adf6142beb48&vjs=3,"
Manulife","Toronto, ON",,
database analyst,https://ca.indeed.com/rc/clk?jk=7553e1198646bbff&fccid=4cc6dc731a65ae13&vjs=3,,"Concord, ON","
$34 an hour",
Microsoft Power BI Developer,https://ca.indeed.com/company/Portlink/jobs/Microsoft-Power-Bi-Developer-2bc122853e94c43e?fccid=2edf7a8781221a60&vjs=3,,"Vancouver, BC",,
Data Analyst,https://ca.indeed.com/rc/clk?jk=7707dbe3e6cf3b7f&fccid=c651baacf627deef&vjs=3,,"Montréal, QC",,
"Senior Analyst, Joint Replacement and Patient-Reported Outcome Measures",https://ca.indeed.com/rc/clk?jk=1d0eddc6a96a252c&fccid=b4d2996574efff71&vjs=3,"
Canadian Institute for Health Information","Toronto, ON",,
