Title,Url,Company,Location,Salary,Easy Apply
"Joint Venture Contracts Analyst, A&D",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzcDfZaLm5XbsrTuD658X8d1RVAgjVQJuOFs0HLcxXVQaN5EcE8lKyQ-r92G6X7xU41G6F8WgNgaxuhffK7FqlqSNxSuzdvDop5lW4dzDQfzn0_EeKxRT4r20Eve9ofV2oZB299vqvDgGfuwotIPvD7Au7myz0WzJSoNvGkp5-Ogqm3Q_5Oes4f54VQTj4GNFMzRUn1CBJJ0O2ufE2qOtUcivoO11u8ygV2aqoVVzi9LRYJq5jlFE683fUrQ6tKe01nPjycxBqWru6fBStdCpFPQuE6paaOCRVUKtvP4gFVXmnumzBX74jBjlg-0ij-wAJVAQrOvvF8HNSfPmCxEJspptyH1eiT3NRY4_-kDkMVqckqK14_56wvEM7GjAsxTmUaq14Uw6WnyLT3XnbVJfu_plh17gR8tuFkwjgE5sx_YnopDd0q6hQyj9e6PJUTzg=&p=14&fvj=1&vjs=3,"
Harvest Operations Corp.","Calgary, AB","
$100,000 - $148,500 a year",
Data analyst,https://ca.indeed.com/rc/clk?jk=007cae1dc5132ef9&fccid=d2841a5c0380b93d&vjs=3,"
CGI","Montréal, QC",,
"Joint Venture Contracts Analyst, A&D",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzcDfZaLm5XbsrTuD658X8d1RVAgjVQJuOFs0HLcxXVQaN5EcE8lKyQ-r92G6X7xU41G6F8WgNgaxuhffK7FqlqSNxSuzdvDop5lW4dzDQfzn0_EeKxRT4r20Eve9ofV2oZB299vqvDgGfuwotIPvD7Au7myz0WzJSoNvGkp5-Ogqm3Q_5Oes4-Xc7PAABOWyQdT6q_r1WbmgioLOfSdko_cf-6vC4c9uecXVwYKK5QawDasPkj0-Yi1Ai3l9CNHwc39yi5FoFqhRszuE_oruw01WCt6A_ngfjd7G6VmPihpzXD5otdoN5rMNnZpTT4mfpopDO1Ks4bjisjveBERU8NAI2Di-R2UwN4Qs53o-2mcs-OM2OTcq1RDFBuSxv3yask5BXKE8mhbFpaYqEdook31DPZfH_TOjDHQL7YkpAhwJTRT2nmxtCoqkvthnCS6Q=&p=1&fvj=1&vjs=3,"
Harvest Operations Corp.","Calgary, AB","
$100,000 - $148,500 a year",
"Analyst, Programs & Operations (9 month contract)",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A98Tq_wNNOgkxbqIP8FVYjRy6aj1AiQ02Njidz0ydlAuL32sJ3hEvnWe0171aDgoE4MV6akBnx0o1OMIz3br91hA8rDAy7zsXAQ7-WvmUgz71Bzyb09DEDMB2SNMwySDG_QCIB22zFHrFs1UdEL40Cc8yImlTG1JX_hh5wvp3DGvNbGn1RHO11oxuhV5y4Q721jI3g_mxq9t4agJvpyK84zbVlk7c5uYpuemka9ePgHaYwZauiqlUHAGOXXkYSSWi268FbzmDKvGPLpEYwodrJK3hPsSP-EjulfvImD-Q9SOkKKa2LAWBg3wbxTPUKNithBzEOa9zwLR_Ttus_4eaG8dcZooO67KSIzVFkelRl1XaMALTQcwBtdYitJNLdw4z0wm0WXcEwnWrFm6tvYziXTa3lYUvrXZo5sUph9PbVKQ4wmIzD9qRFANFBDTltHUWhnLaYd_OEEY5pHCXaCKsTkZJk7zxU261cyZFKFenwQCFRr0n1zDg3ZT9QQuJADj_rjrnxtZejHmGQTwkLaMJukEL6PNYuu8VCo-uQ9XT7XFfVfYW6NwQFFfslMyC7nbn9YA3addbyvebGtDv_JVTdgtiOI-ExZxs=&p=2&fvj=0&vjs=3,"
Softchoice","Toronto, ON",,
Senior Business Intelligence Analyst (B052-20),https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHHKI_uH3HEAcWZmrf1lsjHHIPEfX5u_1fe8SAx1_NeWGf2FzeRoYtEGJeP-n17m0KQL_vpWg987ih3kMuO4bGqZ9i_tenui1t3Jo19TJDH2__d4FwN0EwPu2p_oEb359UEGwavidLwIiHX9sNYIrsVf75q8D_wtXbkLXh9DeY17FnyTP_J0P3I9kFzQBlTjBnYLaihaTwGnVV9BVIayf9GCE_KroveqxmzCxP2l9nXs6ICo3PJC8GW2TNzNuv9n_py0Uz7_t9S1HEguIoKe3nKuK48t4XQPnpoabWekCK2mf10XzZ_CItINaWJ5JHS1t3IkC4TMAYRP6Sb-svUwM_9tg0w7gTfIhzXdpfq5cb0onRMvu_D_uLHgRN11pUnsP-0SVeFF6hvkyUEP3O_QoEBA6Iuk2tmdiagOZOF6XoIJd56nu1ocWOHYlN_XjOHkIWjNzwyzCbDhVkrqixROrmtOA1IEBdpG0=&p=3&fvj=1&vjs=3,,"Vancouver, BC","
$72,602 - $83,101 a year",
MONTREAL - Junior Data Analyst (Entry Level),https://ca.indeed.com/company/BIGDOG-Payments/jobs/Montreal-8ca5b01171b2ac07?fccid=b76a315c9d69a054&vjs=3,"
BDP CALL CENTER","Vaudreuil-Dorion, QC","
$15 an hour",
Data Engineer/Analyst,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CV1F9ym1aDLzBn68w2zx46NxmKh3SoehbtDdgSfF56z16B97JEeChNh2Hk4pPtR2pOP53wErAsW3ag7xlKsycg9VQzJk6kSgRMOZlelkee1Mh5g1FG2-fCfgFudppI59PM1h__P5OA5Lr_rdyED7xQpWCUXN-ojAA7Y4TLPDQt2fPkXm4WJzxzZITEEwq6f_pk_wItgw_JzE53eAgXxspRxe5TvwKHKzcWnFgq2eftcwyrJHBd-Oxtg86iikH1HEDN3giVy0uHLdC1g4TiTVTI5vmZPaeQMYtwbQ8MCu69OaTCvoyJn-wvNbDP5YiXpPjmtLXt0Dm2t2Msg7QJG3AbPUOw4l4Ituvb2kJbpUJIpdP9C-30MQB-ROYJ-gQjJtp4cIU6Ip_OlXAgJ_BVR2bbp6mr0iTQL44b90EdFPb9lPPiaxsYCHxqktbV-Z8fR7A=&p=5&fvj=1&vjs=3,,"Montréal, QC",,
Data Analyst,https://ca.indeed.com/rc/clk?jk=2eb9d8f594a1e7f9&fccid=e58d29b5855f6e22&vjs=3,,"Richmond, BC",,
Intermediate Database Analyst,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DN-vv79BVvDFBkbit2ZFQng_voiEW7571dNXbWwv29tHpOrPf_2uEh4GAep35e3PKg-2UGqXTa3_fkYFAVRVmTGfLGAhtfA249f2qQqzmRcqQsO5xkuOKnWZozA26WwAtm-NLUugU1K7haLJrL2DYcveCvOw6pSPtfZM9IC3krxDFkc5YEOfEz9HJyZy9408pb9DP-8jEaA5brrm5ovEmeB0qpZdBQHO7fVU66rRAvjbbWGOXEBjI9nLLSWTdcggcJkpt5T8UPvn-R3XGISQMf3vYLiOMpc6A7geRlFIjCZZ6QXpya5ZciweP-1l9J2Z1bOwLYuplpvNwgjH0GL5t4gmXuq1j6MIpZN2n017t14n4Byg7Ajno3otpvI48FAy5yROGiP4leA-aPN4QqL5yvdFw17gIAwC5ftaDJQAhHWOOW17kKH0w6DetQGkzEEn3v3Zqs03wHrmHi_xffequL9spzsoATF5E=&p=7&fvj=0&vjs=3,"
PointClickCare",Remote,,
Senior Business Data Analyst,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BmgyhhgzTPmlU2ltoOFrvmMnWna8IhpI58mrlYciiJsY1ntjgYFQfh8eVlOw_x3Mx8JiaVcfl0LXZ9dqmQa5zIyHp5AWF7e7GGefeAJzjZYqgX8NGajGQPAkdhSBVLzUPA9gu9QO2vfoGCemA-2J0VqLoXyB6mjIb7ri1kQS2mJmuU6KXDj-2jgk6hdqAg0FnbM5GqJLfTYKaMi42vbEvyzk9hbb7svmo1ZhWNKA7HAzope9lnewn8JOAaz8Z14p53uhXdSDfs51n_-mDtOx9cZ2xsip1jeDSJ4FrwPW3w6WtZ7eRXwQkU0YAs42xZVmvDwStWvOR6GTPj1V8Q3uMEk6m6f2QP1VK9MqGCwxRs8uPmW5whsAWNzwN4Yxrw95ZU9IJjzROS7Yeox7ol1F6hNagaEeoFdi8-qZH8LzILJVsNhauheAesxbgV5aPWKSLFJoN0X8Mu7g==&p=8&fvj=1&vjs=3,,New Brunswick,"
$60,000 a year",
